#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
7000000          -9.17157242e+00  1.99771499e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.11692874e+01 -1.03945997e+01  5.22573748e+01 -9.02986679e-30 -7.65780304e-28  6.06600000e-02  6.72089147e-02
7100000          -9.52699643e+00  2.47480421e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.20018006e+01 -1.02437686e+01  5.77347450e+01 -4.62857800e-28 -7.73365137e-28  6.80500000e-02  7.53967465e-02
7200000          -4.08717017e+00  2.57765616e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.34493578e+00 -3.72935090e+00  5.28798307e+01 -9.20546230e-29 -7.84473049e-28  6.11900000e-02  6.77961340e-02
7300000          -6.17314108e+00  1.52872656e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.70186765e+00 -6.64389138e+00  5.56371978e+01 -4.10362468e-28 -7.85768388e-28  6.48500000e-02  7.18512713e-02
7400000          -8.61949257e+00  1.76562079e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.03851134e+01 -9.71790393e+00  5.62552698e+01 -6.46878404e-28 -7.98878932e-28  6.51100000e-02  7.21393412e-02
7500000          -3.38738334e+00  8.39748756e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.22713209e+00 -3.66818140e+00  5.28228122e+01 -4.30037194e-28 -8.14351106e-28  6.10600000e-02  6.76520991e-02
7600000          -1.01860212e+01  3.87691607e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.40629373e+01 -1.30628958e+01  5.70851916e+01 -2.41747243e-29 -8.22811305e-28  6.64400000e-02  7.36129293e-02
7700000          -2.84774698e+00  8.10360896e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.65810787e+00 -3.18790477e+00  5.36721582e+01 -5.59613911e-28 -8.29348843e-28  6.19300000e-02  6.86160251e-02
7800000          -8.37769258e+00  8.88858659e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.26655124e+00 -8.40184332e+00  5.56818434e+01 -1.13529408e-28 -8.40712523e-28  6.46800000e-02  7.16629179e-02
7900000          -1.64882298e+00  1.71100921e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.81992390e+00 -1.56546445e+00  5.30748484e+01 -1.18446928e-27 -8.55471483e-28  6.10000000e-02  6.75856214e-02
8000000          -1.57092609e+00  1.68055923e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.73898202e+00 -1.44252826e+00  5.11969271e+01 -2.31496645e-28 -8.57580983e-28  5.89000000e-02  6.52589033e-02
8100000          -5.85261914e+00  1.55094132e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.40356046e+00 -6.82144857e+00  5.29832437e+01 -2.44331886e-28 -8.67577787e-28  6.12700000e-02  6.78847709e-02
8200000          -4.18119469e+00  1.53244486e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.71363954e+00 -5.20415516e+00  5.23215004e+01 -6.13314315e-29 -8.70336132e-28  6.04300000e-02  6.69540836e-02
8300000          -1.15625027e+02  4.00073674e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.55632394e+02 -1.46899144e+02  8.86757902e+01 -1.75635978e-28 -8.80276515e-28  1.11420000e-01  1.23449015e-01
8400000          -4.20674340e+00  6.37041980e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.84378538e+00 -4.46043326e+00  5.20454773e+01 -8.86327319e-29 -8.88116887e-28  5.99700000e-02  6.64444216e-02
8500000          -2.67350406e+00  5.63618612e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.23712267e+00 -2.67851218e+00  5.04714174e+01 -7.53145878e-28 -8.97624377e-28  5.83700000e-02  6.46716840e-02
8600000          -4.67533183e+00  1.40862372e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.08395555e+00 -5.32146362e+00  5.11767569e+01 -1.60920034e-29 -9.11444893e-28  5.94100000e-02  6.58239634e-02
8700000          -4.19260449e+00  1.11378872e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.30639322e+00 -4.58971088e+00  5.22804102e+01 -9.23004008e-28 -9.20000384e-28  6.06200000e-02  6.71645962e-02
8800000          -4.48700869e+00  1.05557601e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.54258470e+00 -4.59522041e+00  4.90510475e+01 -1.08779297e-28 -9.26434826e-28  5.71900000e-02  6.33642900e-02
