# Bins	Density_mean	Density_std
7.400000000000015454e-01 3.245358409388612131e+01 1.967427426602876561e-01
7.500000000000015543e-01 2.487296240134801195e+01 1.405516766203015189e-01
7.600000000000015632e-01 1.966358173577947710e+01 2.298146680639226447e-01
7.700000000000015721e-01 1.637734477192544702e+01 1.784099269732589144e-01
7.800000000000015810e-01 1.318340503209089576e+01 1.340633001458947648e-01
7.900000000000015898e-01 9.909987127128463413e+00 1.245365118317918601e-01
8.000000000000015987e-01 6.268234930014219941e+00 1.553238554021909301e-01
8.100000000000016076e-01 2.949807884943521863e+00 5.413316087022316397e-02
8.200000000000016165e-01 8.699867967761966137e-01 2.443230769906862970e-02
8.300000000000016254e-01 1.330333444972114365e-01 2.244318563319514653e-02
8.400000000000016342e-01 8.830907236431595475e-03 4.619782221247377418e-03
8.500000000000016431e-01 2.848679753687611356e-04 7.536898193122152810e-04
8.600000000000016520e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.700000000000016609e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.800000000000016698e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.900000000000016787e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000016875e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.100000000000016964e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.200000000000017053e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.300000000000017142e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.400000000000017231e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.500000000000017319e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.600000000000017408e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.700000000000017497e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.800000000000017586e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.900000000000017675e-01 0.000000000000000000e+00 0.000000000000000000e+00
